香港,#genre#
SUPER FREE,http://sedum.notessedum.com/746c1cfbcecae92db74f8e1e1c69199e/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/5d465cde03d2d5a9bf243c571627e9bf/index.m3u8
myTV SUPER 18台,http://sedum.notessedum.com/17e72a15a70a9190ce8f3d0593133325/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/073e3884855852613e0b349704942d16/index.m3u8
港台电视31,http://sedum.notessedum.com/bb4907f03b197b94d6fa00d9d9733511/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/46dfc024334de6855d7181a10096bf9c/index.m3u8
港台电视32,http://sedum.notessedum.com/981e369b35deceecb357ac833ca7f951/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/4e5dc24b3e6c9cb8c5a6d51be930507b/index.m3u8
港台电视33,http://sedum.notessedum.com/d1135014b8d44d37cbe30c04ac05cfea/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/665c500a9ac6e2e80d7379307bbf648b/index.m3u8
港台电视34,http://sedum.notessedum.com/34efea0aa523c2a4a8935e1d531ed98f/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/ead33f2f8aafc34c7257f471f2354f1c/index.m3u8
港台电视35,http://sedum.notessedum.com/b2d1f5dfc013fcd0e01f3a2ac7c63873/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/6baa7ae6c7016a7e49f0c91fb26f5dd9/index.m3u8
港台电视36,http://sedum.notessedum.com/4d11059442634be116f70f6b10835059/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/8d594e096d2de01b88da015a0c4c0bec/index.m3u8
HKIBC 香港國際財經台,http://sedum.notessedum.com/550c1673711d07aecfe06a004ab6aa34/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/a7deff1555a043b71ace59cc96ac68d1/index.m3u8
HOY 77,http://sedum.notessedum.com/3325d5fa88341ffeb3cf73a0b76aa7ac/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/516cf9a59690456896031e3d69ba420e/index.m3u8
HOY 78,http://sedum.notessedum.com/89cf07a74b1053226628bdcb32b5a4c9/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/421d2fb1a30d621188ef4c91e0235d42/index.m3u8
黃金翡翠台,http://sedum.notessedum.com/99b83b4e71a225b681fe2d5a3eb7a7d8/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/fb047fc22f13a7d0cbd8e0b3068c7f64/index.m3u8
翡翠台,http://sedum.notessedum.com/3cdd23d4364ecd4bd88c9319a5e4404b/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/2a0662e68f86ab2a586dd1247dc52b0a/index.m3u8
翡翠台,http://sedum.notessedum.com/db385afc3ca199d23688a24a085a3191/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/bdd60aafe9955949e0e7aca39192c33f/index.m3u8
翡翠台,http://sedum.notessedum.com/f534d5f4330e2d6d6761fcea280234bf/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/6eeb80479077aab2c28fcb25d0b87d34/index.m3u8
TVB Plus,http://sedum.notessedum.com/527f4d9bf460bcc079276527e84c85fd/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/757a25dc809a566d53ff670cf5560c99/index.m3u8
TVB Plus,http://sedum.notessedum.com/b6b4fed5a37cdfc8dd65545d8836bcba/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/eb3bc219fecd8baf1156c00fe72fee9c/index.m3u8
無綫新聞台,http://sedum.notessedum.com/076be71aacda8c9a2ee59cabd36de78c/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/34979481904dcf7d970edab2aca77cf9/index.m3u8
無綫新聞台,http://sedum.notessedum.com/dbb86eb8bdb5e610e0383cb6ed8d2686/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/bdd936d4de73e72feade9a5745314ce9/index.m3u8
明珠台,http://sedum.notessedum.com/603f43a5341cfcef4a65b2258e893338/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/c847348c80d7f0cada0a2f2182ca0c58/index.m3u8
